Genus,Species,Studies,Genera
Ampithoe ,akuolaka,1,1
Ampithoe ,auriculata,1,5
Ampithoe ,boiana,1,2
Ampithoe ,caddi,5,8
Ampithoe ,cookana,1,1
Ampithoe ,dalli,2,2
Ampithoe ,ferox,8,11
Ampithoe ,gammaroides,8,9
Ampithoe ,geographe,2,2
Ampithoe ,helleri,19,14
Ampithoe ,hinatore,4,3
Ampithoe ,kaneohe ,3,5
Ampithoe ,katae,1,1
Ampithoe ,kava,8,17
Ampithoe ,kulafi,6,8
Ampithoe ,lacertosa,14,22
Ampithoe ,lafkui,1,7
Ampithoe ,laxipodus                               ,2,2
Ampithoe ,longicarpus                             ,1,8
Ampithoe ,longimana,40,24
Ampithoe ,mantissa,1,2
Ampithoe ,marcuzzi,0,3
Ampithoe ,mascarenensis                           ,1,5
Ampithoe ,maxillisius,1,2
Ampithoe ,meganae,1,2
Ampithoe ,ngana,4,10
Ampithoe ,parakava,2,4
Ampithoe ,plumulosa,3,3
Ampithoe ,poipu,1,1
Ampithoe ,pollex,3,3
Ampithoe ,prolatus,1,1
Ampithoe ,pseudongana,1,1
Ampithoe ,rachanoi,1,3
Ampithoe ,ramondi,54,33
Ampithoe ,riedli,5,8
Ampithoe ,roly,1,2
Ampithoe ,rosema,1,1
Ampithoe ,rotunda,1,1
Ampithoe ,rubricata,28,25
Ampithoe ,sectimana,4,2
Ampithoe ,simulans,2,2
Ampithoe ,tarasovi,1,1
Ampithoe ,valida,32,14
Ampithoe ,volki ,1,1
Ampithoe ,waialua,2,1
Ampithoe ,zaschi,1,3
Cymadusa,alyxis,2,2
Cymadusa,bilobata,1,2
Cymadusa,botulus,1,3
Cymadusa,brevidactyla,4,5
Cymadusa,cavimana,5,14
Cymadusa,chalongana,2,3
Cymadusa,chuawe,1,1
Cymadusa,compta,31,11
Cymadusa,crassicornis,12,9
Cymadusa,drummondae,1,2
Cymadusa,elegantis,2,5
Cymadusa,filosa,27,26
Cymadusa,grossimana,1,2
Cymadusa,hallexus,0,2
Cymadusa,hawaiensis,2,2
Cymadusa,hentyana ,1,1
Cymadusa,heronensis,2,4
Cymadusa,imbroglio,5,6
Cymadusa,jiigurru,0,1
Cymadusa,lunata,1,2
Cymadusa,microphthalma,1,7
Cymadusa,munnu,2,8
Cymadusa,pemptos,2,2
Cymadusa,pillipes,5,5
Cymadusa,priscileo,1,2
Cymadusa,setosa,5,7
Cymadusa,tattersalli,3,3
Cymadusa,thagaay,1,3
Cymadusa,tishana,1,3
Cymadusa,vadosa,1,3
Cymadusa,wistari,2,3
Exampithoe,compressa,1,2
Exampithoe,cooki,1,2
Exampithoe,ecklonicola,1,1
Exampithoe,gracilipes,1,2
Exampithoe,halei,1,1
Exampithoe,helenae,1,2
Exampithoe,kutti,4,8
Exampithoe,latibasis                               ,1,5
Exampithoe,malus,1,3
Exampithoe,otway,2,6
Exampithoe,sp (Port Jackson),1,1
Exampithoe,sp (Leigh),1,1
Exampithoe,vasse,1,2
Peramphithoe,aorangi,6,3
Peramphithoe,femorata ,13,3
Peramphithoe,humeralis ,6,6
Peramphithoe,jonathani,1,2
Peramphithoe,lessoniophila ,1,1
Peramphithoe,lindbergi ,2,3
Peramphithoe,mea ,1,1
Peramphithoe,naturaliste,1,2
Peramphithoe,orientalis ,5,3
Peramphithoe,parmerong,13,7
Peramphithoe,plea,2,1
Peramphithoe,spuria,1,2
Peramphithoe,stypotrupetes ,2,3
Peramphithoe,tea ,4,2
